LabNumber	SiteProvince	DistrictName	EpiWeek	SampleCollectionDate	Sequence_ID	SiteName	Lineages	Abundances
NIC-22-0313	Eastern Cape	Nelson Mandela Bay MM	19.0	2022-05-10	NIC-22-0313	Brickfield Pre-treatment Works	BA.4.X BA.5.X BA.2.X Recombinants Other	[0.93383246, 0.0560354, 0.0021804600000000004, 0.007811429999999999, 0.00014006]
COV-23-127	Gauteng	Johannesburg MM	17.0	2023-04-26	COV-23-127	Bushkoppies Final	XBB.1.5.X XBB.X BA.2.X BA.5.X Other	[0.9998364700000001, 0.00016333, 9.2e-07, 5.1e-07, 4.2000000000000004e-06]
COV-22-68	KwaZulu-Natal	Ethekwini MM	9.0	2022-02-28	COV-22-68	Central Wastewater Treatment Works (KZN)	Delta BA.5.X BA.2.X XBB.X BA.4.X Recombinants Other	[0.00255745, 0.00108538, 0.00043035999999999997, 0.00013087, 7.414e-05, 0.99463977, 0.00108199]
COV-21-121	Gauteng	Ekurhuleni MM	32.0	2021-08-10	COV-21-121	Olifantsfontein	Delta BA.5.X XBB.1.5.X Other Recombinants	[0.9872325900000001, 3.54e-06, 1.38e-06, 0.012662030000000001, 0.00010046]
COV-23-136	Gauteng	Ekurhuleni MM	18.0	2023-05-02	COV-23-136	ERWAT Vlakplaat Wastewater Treatment Works	XBB.1.5.X XBB.X Other Recombinants	[0.7004459200000002, 0.2989603199999999, 0.000433, 0.00016069]
COV-23-365	Gauteng	Johannesburg MM	24.0	2023-06-14	COV-23-365	Klipspruit Veggies (After tunnel)	XBB.1.5.X	[1.0]
COV-23-0865	Gauteng	Tshwane MM	38.0	2023-09-22	COV-23-0865	Daspoort Wastewater Treatment Works	BA.2.86.X XBB.X BA.2.X XBB.1.5.X Recombinants	[0.43677604000000003, 0.19093847, 0.14410783999999996, 0.22731152000000002, 0.000866]
COV-22-257	Gauteng	Ekurhuleni MM	37.0	2022-09-13	COV-22-257	Hartebeesfontein Waterworks	BA.5.X BA.1.X BA.4.X Recombinants Other	[0.8769981999999996, 0.05862674, 0.00012331, 0.06399548, 0.0005124]
COV-24-1056	Northern Cape	Frances Baard DM	21.0	2024-05-22	COV-24-1056	Homevale Kimberley	JN.1.X BA.2.86.X KP.2.X KP.1.X Recombinants	[0.97193931, 0.026254, 0.0014402999999999998, 0.00028378, 8.259e-05]
COV-22-316	Free State	Mangaung MM	45.0	2022-11-08	COV-22-316	Bloemspruit Wastewater Treatment Works	BA.5.X BA.2.X BA.1.X Delta Other Recombinants	[0.9996509100000003, 1.158e-05, 9.24e-06, 7.93e-06, 0.00021850000000000005, 0.00010178]
COV-23-694	Western Cape	Cape Town MM	33.0	2023-08-18	COV-23-694	Borcherds Quarry Wastewater Treatment Works	XBB.1.5.X XBB.X BA.2.X BA.5.X JN.1.X Recombinants Other	[0.6811179399999999, 0.3185364400000001, 0.00028394, 9.3e-07, 6.8e-07, 6.203e-05, 3.82e-06]
COV-22-312	Eastern Cape	Buffalo City MM	44.0	2022-11-01	COV-22-312	Mdantsane Wastewater Treatment Works	BA.5.X BA.4.X BA.1.X Other Recombinants	[0.99881395, 3.791e-05, 2.326e-05, 0.0009869900000000003, 0.0001379]
COV-23-0928	Eastern Cape	Buffalo City MM	39.0	2023-09-28	COV-23-0928	Mdantsane Wastewater Treatment Works	BA.2.86.X XBB.X XBB.1.5.X BA.2.X BA.4.X Other Recombinants	[0.5758099999999999, 0.37791488, 0.032095109999999996, 0.01386573, 0.00010927, 0.00019, 1.5e-05]
COV-24-0977	Gauteng	Ekurhuleni MM	20.0	2024-05-16	COV-24-0977	Olifantsfontein	BA.2.86.X JN.1.X LB.1.3.X KP.2.X KP.3.X KP.1.X XBB.X Recombinants Other	[0.44400218999999996, 0.33924945999999995, 0.11111098, 0.10428409, 0.00072993, 0.00028189999999999997, 3.2e-07, 0.00034102, 2.4e-07]
COV-24-0877	Northern Cape	Frances Baard DM	18.0	2024-05-02	COV-24-0877	Homevale Kimberley	JN.1.X KP.1.X LB.1.3.X BA.2.86.X KP.2.X BA.5.X BA.2.X XBB.1.5.X Delta XBB.X Recombinants Other	[0.9990492599999997, 0.00020128, 0.00022695000000000001, 0.00013859, 7.485e-05, 4.502e-05, 3.08e-06, 1.1800000000000001e-06, 6.800000000000001e-07, 2.5e-07, 0.00017298000000000001, 0.00018188000000000001]
COV-24-0932	Gauteng	Tshwane MM	19.0	2024-05-10	COV-24-0932	Atteridgeville Train Station	JN.1.X BA.2.86.X BA.5.X KP.3.X BA.2.X XBB.X Delta Recombinants Other	[0.9991367200000008, 0.00056749, 6.739e-05, 4.657e-05, 1.6699999999999999e-06, 1.02e-06, 1.06e-06, 0.00014025000000000002, 0.00011466]
COV-24-0636	Gauteng	Johannesburg MM	13.0	2024-04-03	COV-24-0636	Bushkoppies Inlet	JN.1.X BA.2.86.X KP.1.X BA.2.X KP.2.X Recombinants Other	[0.46453355999999996, 0.5280172799999999, 0.00667131, 0.00014699, 0.00022861, 0.00040179, 7.2e-07]
NIC-23-0352	Gauteng	Johannesburg MM	14.0	2023-04-05	NIC-23-0352	Northern Wastewater Treatment Works (GP)	XBB.1.5.X BA.2.X XBB.X BA.4.X Recombinants Other	[0.79928935, 0.19884884, 0.0012281000000000002, 5.42e-06, 0.0005307, 9.713e-05]
COV-24-0738	Gauteng	Johannesburg MM	16.0	2024-04-17	COV-24-0738	Klipspruit Veggies (After tunnel)	JN.1.X BA.2.86.X BA.5.X Recombinants Other	[0.9994903299999999, 0.00046089, 7.799999999999999e-07, 4.814e-05, 1.14e-06]
COV-23-1005	Gauteng	Tshwane MM	42.0	2023-10-17	COV-23-1005	Atteridgeville Train Station	BA.2.86.X	[1.0]
COV-21-287	Gauteng	Johannesburg MM	49.0	2021-12-06	COV-21-287	Goudkoppies Wastewater Treatment Works	BA.1.X Other	[0.9998529900000002, 0.000147]
COV-24-1020	Gauteng	Tshwane MM	20.0	2024-05-21	COV-24-1020	Groenkloof	KP.3.X JN.1.X BA.5.X XBB.1.5.X XBB.X Recombinants Other	[0.8463702599999999, 0.15346375, 8.1e-07, 3.5e-07, 4e-07, 0.00016524, 2.2600000000000004e-06]
COV-24-0482	Gauteng	Johannesburg MM	11.0	2024-03-12	COV-24-0482	Northern Wastewater Treatment Works (GP)	JN.1.X BA.2.86.X LB.1.3.4.X LB.1.3.X KP.3.X KP.1.X BA.2.X Recombinants Other	[0.9916811800000002, 0.007872689999999998, 8.787e-05, 4.84e-05, 7.648e-05, 3.124e-05, 2e-07, 0.00013737, 0.00012902]
COV-23-1057	Free State	Mangaung MM	43.0	2023-10-24	COV-23-1057	Bloemspruit Wastewater Treatment Works	BA.2.86.X XBB.X BA.2.X XBB.1.5.X BA.5.X JN.1.X Recombinants Other	[0.43396192000000006, 0.3827953499999999, 0.15043526, 0.02071624, 1.97e-06, 1.19e-06, 0.01209395, 1.8000000000000001e-06]
COV-22-0412	Gauteng	Tshwane MM	23.0	2022-06-07	COV-22-0412	Daspoort Wastewater Treatment Works	BA.4.X BA.5.X BA.2.X Delta BA.1.X XBB.1.5.X BA.2.12.X XEC.X XBB.X KP.3.X Recombinants Other	[0.7932939699999998, 0.20572857, 0.00047073999999999993, 2.142e-05, 1.821e-05, 1.417e-05, 1.261e-05, 1.036e-05, 2.4269999999999996e-05, 9.36e-06, 0.00026374999999999993, 0.00013252]
COV-22-288	Free State	Mangaung MM	41.0	2022-10-11	COV-22-288	Sterkwater Wastewater Treatment Works	BA.5.X BA.2.X BA.4.X Other Recombinants	[0.9998499699999999, 2.671e-05, 2.329e-05, 9.701e-05, 3e-06]
COV-24-0798	Gauteng	Johannesburg MM	17.0	2024-04-24	COV-24-0798	Bushkoppies Final	BA.2.86.X JN.1.X KP.1.X LB.1.3.X KP.2.X XBB.X BA.5.X Recombinants Other	[0.4542022, 0.5445830200000001, 0.00028651, 0.00026254, 0.00035093, 9.038e-05, 3.8129999999999996e-05, 0.00015182000000000002, 7.038e-05]
COV-21-296	KwaZulu-Natal	Ethekwini MM	50.0	2021-12-13	COV-21-296	Northern Wastewater Treatment Works (KZN)	BA.1.X Recombinants Other	[0.9997249099999997, 0.00020407999999999998, 7.1e-05]
COV-22-102	KwaZulu-Natal	Ethekwini MM	13.0	2022-03-28	COV-22-102	Central Wastewater Treatment Works (KZN)	BA.5.X BA.4.X BA.2.X Delta Recombinants Other	[0.6080689, 0.39049697, 0.0009162899999999999, 3.055e-05, 0.00031134999999999995, 0.00017587999999999998]
COV-21-300	Free State	Mangaung MM	50.0	2021-12-14	COV-21-300	Bloemspruit Wastewater Treatment Works	BA.1.X Other	[0.9999189999999999, 8.099999999999999e-05]
NIC-22-0192	Gauteng	Johannesburg MM	14.0	2022-04-06	NIC-22-0192	Northern Wastewater Treatment Works (GP)	BA.4.X BA.5.X BA.2.X BA.2.12.X Recombinants Other	[0.8689308299999999, 0.12792701000000006, 0.00022444, 6.862e-05, 0.0026341000000000003, 0.00021501]
COV-22-146	Gauteng	Johannesburg MM	18.0	2022-05-03	COV-22-146	Goudkoppies Wastewater Treatment Works	BA.4.X BA.5.X BA.2.X XBB.1.5.X BA.2.12.X XBB.X JN.1.X Recombinants Other	[0.8642082799999999, 0.13504185, 0.00040885, 2.1629999999999998e-05, 1.522e-05, 2.843e-05, 6.33e-06, 0.00012643, 0.00014311999999999997]
COV-21-292	Free State	Mangaung MM	49.0	2021-12-07	COV-21-292	Bloemspruit Wastewater Treatment Works	Delta Other	[0.9998589999999999, 0.00014101]
COV-24-0998	Gauteng	Tshwane MM	20.0	2024-05-17	COV-24-0998	Groenkloof	JN.1.X BA.2.86.X KP.3.X KP.1.X XBB.X XBB.1.5.X BA.2.X BA.5.X Recombinants Other	[0.7620176899999996, 0.173179, 0.043021489999999996, 0.021363530000000002, 4.639e-05, 9.1e-07, 3.2e-07, 5.2e-07, 0.00023655, 0.00026911999999999997]
